MethodID,Size,RMSE,PSNR
1,1,0.027157101060695587,79.45313543976297
1,2,0.030089114604925374,78.56261543902379
1,3,0.010085894130748481,88.0565155054729
1,4,0.05002440810494413,74.1471644344391
1,5,0.05669672150280532,73.05964467928887
1,6,0.050479874934844085,74.06843820344025
1,7,0.061350098903071595,72.37449826480295
1,8,0.0667500292602932,71.64177440043191
1,9,0.07523968861038369,70.60186381876564
1,10,0.052504805087645705,73.72682259672885
1,11,0.08459534307698326,69.58387448776526
1,12,0.0835060872126248,69.69644091421759
1,13,0.08118988160479113,69.94076544676697
1,14,0.08456527542254957,69.58696225527467
1,15,0.09135949659005078,68.91572965158178
1,16,0.09525698519881189,68.55286696171167
1,17,0.10133688883650661,68.01545227267633
1,18,0.08978711983364225,69.06652279657501
1,19,0.09108070589855552,68.94227585170997
1,20,0.10258400552768529,67.90921055545537
1,21,0.11251537076708304,67.10656649602679
1,22,0.11224381275867354,67.12755539625435
1,23,0.1055651565557776,67.66039168650566
1,24,0.11805236413169934,66.68930983390884
1,25,0.11144798920068051,67.18935886602408
1,26,0.09412900818712405,68.65633395539628
1,27,0.11390810755229776,66.99971087601482
1,28,0.13340477618847021,65.62737603728365
1,29,0.13059188301289698,65.81247992782453
1,30,0.1250813537346128,66.18695215081878
1,31,0.12747788181313063,66.02210683716854
1,32,0.11978458991778047,66.56278460055906
1,33,0.12249275860824727,66.36859530233109
1,34,0.14783664025038187,64.73516192527369
1,35,0.13507192697125917,65.51950169535306
1,36,0.11755584471902776,66.72591907793381
1,37,0.13751627507847328,65.36372160775392
1,38,0.1602514960684845,64.03476175515786
1,39,0.15897685665064848,64.10412549465738
1,40,0.1451282714334834,64.89576315708894
1,41,0.15242719402772809,64.46955450973479
1,42,0.15709407429016325,64.20760754016737
1,43,0.15162423570843372,64.51543111399889
1,44,0.1406069143462695,65.17067005580006
1,45,0.15782087952175666,64.16751442193055
1,46,0.14866005793595277,64.68691765426587
1,47,0.16264579297158033,63.9059469243644
1,48,0.1557609534170069,64.28163167171158
1,49,0.16615726188488825,63.720417072235726
1,50,0.16968598928885525,63.53788391326678
1,51,0.14368417310741813,64.98262494893987
1,52,0.18400883927052933,62.83402989259601
1,53,0.1637211230104157,63.84870930998726
1,54,0.16627966135775596,63.714020981508156
1,55,0.17284880382685613,63.3774760402449
1,56,0.17231832031338107,63.40417455559276
1,57,0.1573690396756538,64.19241771665378
1,58,0.1602673649100413,64.0339016809261
1,59,0.17046354636115263,63.49817322150723
1,60,0.1805910254956855,62.99688032529165
1,61,0.1750709026752923,63.26652418873934
1,62,0.19099392237821775,62.51041265321127
1,63,0.17153434517763733,63.443781829235036
1,64,0.20522997850099978,61.88598761569085
1,65,0.18130779879433162,62.96247390288599
1,66,0.19708828146316607,62.23758755608674
1,67,0.18099895059692336,62.977282470553604
1,68,0.1934415597648831,62.39980790168773
1,69,0.1840364786006545,62.83272531318727
1,70,0.19027354041561234,62.54323562543445
1,71,0.19837443633741597,62.18108949353672
1,72,0.20018657882372093,62.102104457319946
1,73,0.19378307429394473,62.38448677788807
1,74,0.1922679370966898,62.452666275752755
1,75,0.212977213851134,61.56414078197684
1,76,0.18743217089095413,62.67392090205125
1,77,0.20545290655012852,61.876557816239114
1,78,0.21163561175156306,61.61902865087765
1,79,0.21904045077455633,61.320317117725494
1,80,0.19323109696924431,62.409263221398206
1,81,0.21767780388014607,61.37452066348629
1,82,0.2263154184314265,61.036520756576536
1,83,0.21204378110231545,61.60229281198199
1,84,0.21620073348963997,61.43366034825161
1,85,0.21021287573552672,61.677617339665005
1,86,0.21210373975786198,61.5998370896553
1,87,0.19692046432718296,62.24498658581002
1,88,0.21037008947155686,61.6711237755537
1,89,0.23354889131703593,60.76324740900431
1,90,0.2253920918135402,61.072030125319614
1,91,0.2168936298734647,61.40586766765101
1,92,0.20377500166135035,61.94778550167239
1,93,0.22078664993986086,61.25134741166036
1,94,0.21280997612306618,61.5709639488462
1,95,0.23588920587410664,60.6766422421386
1,96,0.2251776100208178,61.08029950212899
1,97,0.2166472597478445,61.41573960362216
1,98,0.22624798571847365,61.039109181100784
1,99,0.23027004145608587,60.88605482565477
1,100,0.24217699910030507,60.44814574072709
3,1,0.027063293868263706,79.48319054116023
3,2,0.024394523431243743,80.3849568446511
3,3,0.04407893458284051,75.24618183299563
3,4,0.03197403426512676,78.03485488790783
3,5,0.04638414877749186,74.8034117883623
3,6,0.0589399494674806,72.7226084252974
3,7,0.05629157896150335,73.12193499552103
3,8,0.05037901594310704,74.08581000587881
3,9,0.06422584612051314,71.97660692000116
3,10,0.06290558504781855,72.15701949221584
3,11,0.075442218421203,70.57851459682922
3,12,0.08513474499102879,69.52866681866743
3,13,0.07397850370490516,70.74869274880902
3,14,0.09565661072021717,68.5165038286572
3,15,0.09399382355871848,68.66881727764174
3,16,0.09144296805249708,68.9077973300724
3,17,0.109375,67.35244228807171
3,18,0.09057672025749312,68.9904717882231
3,19,0.11422024622823004,66.97594176763437
3,20,0.10960726825903624,67.33401652933776
3,21,0.08763707640866583,69.27704598918103
3,22,0.1060458746913924,67.62092803632558
3,23,0.10860499042545191,67.41380797573284
3,24,0.09864086961728473,68.24966576183976
3,25,0.1165564606902845,66.80007658189899
3,26,0.12014497265023202,66.53669155089817
